block,round,task,trial_duration,delay,audioFile,number,stimulus,type,response_1,rt_1,response_2,rt_2,is_word
0.0,0.0,tone_number_task,584.0,434.0,tones/880hz_short.mp3,65,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,798.0,k,728.0,False
0.0,1.0,tone_number_task,1010.0,860.0,tones/880hz_short.mp3,23,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,395.0,j,326.0,False
0.0,2.0,tone_number_task,767.0,617.0,tones/880hz_short.mp3,37,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,432.0,j,541.0,False
0.0,3.0,tone_number_task,1097.0,947.0,tones/880hz_short.mp3,56,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,523.0,k,443.0,False
0.0,4.0,tone_number_task,171.0,21.0,tones/880hz_short.mp3,24,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,353.0,j,641.0,False
0.0,5.0,tone_number_task,462.0,312.0,tones/440hz_short.mp3,23,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,768.0,j,1073.0,False
0.0,6.0,tone_number_task,640.0,490.0,tones/440hz_short.mp3,62,tones/440hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,a,499.0,k,497.0,False
0.0,7.0,tone_number_task,903.0,753.0,tones/440hz_short.mp3,66,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,467.0,k,449.0,False
0.0,8.0,tone_number_task,635.0,485.0,tones/440hz_short.mp3,34,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,917.0,j,988.0,False
0.0,9.0,tone_number_task,920.0,770.0,tones/880hz_short.mp3,42,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,368.0,j,620.0,False
0.0,10.0,tone_number_task,292.0,142.0,tones/880hz_short.mp3,37,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,449.0,j,663.0,False
0.0,11.0,tone_number_task,696.0,546.0,tones/440hz_short.mp3,42,tones/440hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,a,667.0,j,677.0,False
0.0,12.0,tone_number_task,872.0,722.0,tones/440hz_short.mp3,30,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,1183.0,j,811.0,False
0.0,13.0,tone_number_task,228.0,78.0,tones/880hz_short.mp3,21,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,352.0,j,596.0,False
0.0,14.0,tone_number_task,521.0,371.0,tones/880hz_short.mp3,41,tones/880hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,s,440.0,j,568.0,False
0.0,15.0,tone_number_task,615.0,465.0,tones/440hz_short.mp3,37,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,453.0,j,405.0,False
0.0,16.0,tone_number_task,802.0,652.0,tones/440hz_short.mp3,33,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,395.0,j,407.0,False
0.0,17.0,tone_number_task,786.0,636.0,tones/440hz_short.mp3,39,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,408.0,j,425.0,False
0.0,18.0,tone_number_task,975.0,825.0,tones/880hz_short.mp3,40,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,571.0,j,480.0,False
0.0,19.0,tone_number_task,1088.0,938.0,tones/440hz_short.mp3,43,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,464.0,j,509.0,False
0.0,20.0,tone_number_task,544.0,394.0,tones/440hz_short.mp3,64,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,381.0,k,485.0,False
0.0,21.0,tone_number_task,478.0,328.0,tones/880hz_short.mp3,68,tones/880hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,s,413.0,k,478.0,False
0.0,22.0,tone_number_task,511.0,361.0,tones/880hz_short.mp3,21,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,538.0,j,546.0,False
0.0,23.0,tone_number_task,471.0,321.0,tones/440hz_short.mp3,30,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,550.0,j,546.0,False
0.0,24.0,tone_number_task,299.0,149.0,tones/440hz_short.mp3,68,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,349.0,k,605.0,False
0.0,25.0,tone_number_task,1132.0,982.0,tones/880hz_short.mp3,69,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,541.0,k,429.0,False
0.0,26.0,tone_number_task,1025.0,875.0,tones/440hz_short.mp3,65,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,547.0,k,443.0,False
0.0,27.0,tone_number_task,863.0,713.0,tones/880hz_short.mp3,66,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,517.0,k,441.0,False
0.0,28.0,tone_number_task,802.0,652.0,tones/880hz_short.mp3,66,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,381.0,k,321.0,False
0.0,29.0,tone_number_task,282.0,132.0,tones/440hz_short.mp3,26,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,465.0,j,706.0,False
0.0,30.0,tone_number_task,1168.0,1018.0,tones/880hz_short.mp3,38,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,813.0,j,416.0,False
