block,round,task,trial_duration,delay,audioFile,number,stimulus,type,response_1,rt_1,response_2,rt_2,is_word
0.0,1.0,tone_number_task,507.0,357.0,tones/880hz_short.mp3,31,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1578.0,j,1221.0,False
0.0,5.0,tone_number_task,792.0,642.0,tones/440hz_short.mp3,27,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,1551.0,j,909.0,False
0.0,7.0,tone_number_task,258.0,108.0,tones/880hz_short.mp3,47,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1373.0,k,1265.0,False
0.0,8.0,tone_number_task,958.0,808.0,tones/880hz_short.mp3,68,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1301.0,k,495.0,False
0.0,10.0,tone_number_task,662.0,512.0,tones/880hz_short.mp3,64,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1141.0,k,630.0,False
0.0,11.0,tone_number_task,656.0,506.0,tones/880hz_short.mp3,23,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1447.0,j,941.0,False
0.0,12.0,tone_number_task,316.0,166.0,tones/880hz_short.mp3,34,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,910.0,j,744.0,False
0.0,13.0,tone_number_task,583.0,433.0,tones/880hz_short.mp3,29,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,864.0,j,433.0,False
0.0,14.0,tone_number_task,869.0,719.0,tones/880hz_short.mp3,69,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1188.0,k,469.0,False
0.0,16.0,tone_number_task,1174.0,1024.0,tones/880hz_short.mp3,21,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1431.0,j,407.0,False
0.0,17.0,tone_number_task,1063.0,913.0,tones/440hz_short.mp3,47,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,s,1501.0,k,588.0,False
0.0,18.0,tone_number_task,725.0,575.0,tones/880hz_short.mp3,25,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1088.0,j,513.0,False
0.0,19.0,tone_number_task,827.0,677.0,tones/880hz_short.mp3,38,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1907.0,j,1231.0,False
0.0,20.0,tone_number_task,529.0,379.0,tones/440hz_short.mp3,23,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,1214.0,j,836.0,False
0.0,21.0,tone_number_task,364.0,214.0,tones/880hz_short.mp3,33,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1336.0,j,1122.0,False
0.0,22.0,tone_number_task,533.0,383.0,tones/440hz_short.mp3,38,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,1548.0,j,1165.0,False
0.0,23.0,tone_number_task,532.0,382.0,tones/440hz_short.mp3,60,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,s,1350.0,k,968.0,False
0.0,27.0,tone_number_task,756.0,606.0,tones/440hz_short.mp3,41,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,1747.0,j,1141.0,False
