"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","check","rt","stimulus","response","question_order","url","task","delay","number","audioFile","trial_duration","font_size","block","round"
"true","false","[]","[]","[]","preload","0","14","0.0-0.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","10769439","0.0-1.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","","","","","","","","","","","","",""
"","","","","","html-button-response","2","10773702","0.0-2.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","4262","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0","","","","","","","","","",""
"","","","","","html-button-response","3","10778166","0.0-3.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","4463","<p style=""font-size:24px;"">El experimento dura aproximadamente 15 minutos.</p><p style=""font-size:24px;"">Por favor, no cierres la ventana del navegador durante el experimento.</p><p style=""font-size:24px;"">Si se completa de forma parcial, no se guardará ningún resultado.</p>","0","","","","","","","","","",""
"","","","","","html-button-response","4","10780030","0.0-4.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","1863","<p style=""font-size:24px;"">El experimento contiene estímulos sonoros.</p>","0","","","","","","","","","",""
"","","","","","audio-button-response","5","10784622","0.0-5.0-0.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","4580","tones/440hz_short.mp3","1","","","","","","","","","",""
"","","","","","audio-button-response","6","10786694","0.0-6.0-0.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","2061","tones/880hz_short.mp3","1","","","","","","","","","",""
"","","","","","survey-html-form","7","10792679","0.0-7.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","5981","","{""response"":""61""}","","","","","","","","","",""
"","","","","","survey-multi-choice","8","10798135","0.0-8.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","5439","","{""gender"":""Hombre"",""hand"":""Derecha""}","[0,1]","","","","","","","","",""
"","","","","","external-html","9","10840679","0.0-9.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","41789","","","","instructions.html","","","","","","","",""
"","","","","","html-keyboard-response","10","10843648","0.0-10.0-0.0","9","1","2023-10-16 15:42:05","e9d48ac1168f4a655ba3cac2ff085c86","181.169.73.153","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36","Macintosh","Chrome","115.0.0.0","OS X","10_15_7","null","es-ES,es;q=0.9","true","null","<div style=""font-size:100px;"">X</div>","null","","","fixation","","","","","","",""
