"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","check","rt","stimulus","response","question_order","url","task","delay","number","audioFile","trial_duration","font_size","block","round","value"
"true","false","[]","[]","[]","preload","0","1093","0.0-0.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","6345","0.0-1.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","","","","","","","","","","","","","",""
"","","","","","html-button-response","2","8748","0.0-2.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","2400","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0","","","","","","","","","","",""
"","","","","","html-button-response","3","88888","0.0-3.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","80135","<p style=""font-size:24px;"">El experimento dura aproximadamente 15 minutos.</p><p style=""font-size:24px;"">Por favor, no cierres la ventana del navegador durante el experimento.</p><p style=""font-size:24px;"">Si se completa de forma parcial, no se guardará ningún resultado.</p>","0","","","","","","","","","","",""
"","","","","","html-button-response","4","91809","0.0-4.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","2917","<p style=""font-size:24px;"">El experimento contiene estímulos sonoros.</p>","0","","","","","","","","","","",""
"","","","","","audio-button-response","5","94940","0.0-5.0-0.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","3083","tones/440hz_short.mp3","1","","","","","","","","","","",""
"","","","","","audio-button-response","6","96405","0.0-6.0-0.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","1461","tones/880hz_short.mp3","1","","","","","","","","","","",""
"","","","","","survey-html-form","7","98757","0.0-7.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","2346","","{""response"":""23""}","","","","","","","","","","",""
"","","","","","survey-multi-choice","8","111818","0.0-8.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","13056","","{""gender"":""Hombre"",""hand"":""Derecha""}","[0,1]","","","","","","","","","",""
"","","","","","external-html","9","173328","0.0-9.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","60758","","","","instructions/instructions.html","","","","","","","","",""
"","","","","","external-html","10","220160","0.0-10.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","45648","","","","instructions/animation.html","","","","","","","","",""
"","","","","","html-keyboard-response","11","223062","0.0-11.0-0.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","null","<div style=""font-size:100px;"">X</div>","null","","","fixation","","","","","","","",""
"","","","","","audio-keyboard-response","12","223510","0.0-11.0-1.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","416","tones/880hz_short.mp3","s","","","tone_number_task","1000","36","tones/880hz_short.mp3","1150","100","null","null",""
"","","","","","html-keyboard-response","13","224102","0.0-11.0-2.0-0.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","null","","null","","","delay_block","","","","","","null","null",""
"","","","","","html-keyboard-response","14","224262","0.0-11.0-2.0-1.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","null","<p id=""stimulus"" style=""font-size:100px;"">36</p>","null","","","tone_number_task_remaining_before_delay","","36","","734","100","null","null",""
"","","","","","html-keyboard-response","15","224785","0.0-11.0-5.0-0.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","521","<p id=""stimulus"" style=""font-size:100px;"">36</p>","j","","","empty_block","","36","","","","null","null",""
"","","","","","html-keyboard-response","16","227678","0.0-13.0-0.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","null","<div style=""font-size:100px;"">X</div>","null","","","fixation","","","","","","","",""
"","","","","","audio-keyboard-response","17","228333","0.0-13.0-1.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","null","tones/440hz_short.mp3","null","","","tone_number_task","500","27","tones/440hz_short.mp3","650","100","null","null",""
"","","","","","html-keyboard-response","18","228406","0.0-13.0-4.0-0.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","72","tones/440hz_short.mp3","a","","","empty_block","","27","","","","null","null",""
"","","","","","html-keyboard-response","19","228729","0.0-13.0-4.0-1.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","321","tones/440hz_short.mp3","j","","","empty_block","","27","","","","null","null",""
"","","","","","html-keyboard-response","20","231622","0.0-15.0-0.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","null","<div style=""font-size:100px;"">X</div>","null","","","fixation","","","","","","","",""
"","","","","","audio-keyboard-response","21","231931","0.0-15.0-1.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","null","tones/440hz_short.mp3","null","","","tone_number_task","150","57","tones/440hz_short.mp3","300","100","null","null",""
"","","","","","html-keyboard-response","22","232184","0.0-15.0-4.0-0.0","23","1","2023-10-21 19:33:33","a725c3012b74bf33a1020a98cb69c237","69.23.117.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","Macintosh","Chrome","116.0.0.0","OS X","10_15_7","null","en,es-419;q=0.9,es;q=0.8,fr;q=0.7","true","251","tones/440hz_short.mp3","s","","","empty_block","","57","","","","null","null",""
