"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","rt","stimulus","response","question_order"
"true","false","[]","[]","[]","preload","0","152","0.0-0.0","21","1","2023-10-31 20:11:27","a725c3012b74bf33a1020a98cb69c237","181.84.123.3","Mozilla/5.0 (Linux; Android 13; SM-G990E Build/TP1A.220624.014; ) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.0.0 Mobile Safari/537.36 BingSapphire/27.2.411013306","WebKit","Chrome","114.0.0.0","AndroidOS","13","null","es-US,es;q=0.9,en-US;q=0.8,en;q=0.7","","","",""
"true","","","","","fullscreen","1","3457","0.0-1.0","21","1","2023-10-31 20:11:27","a725c3012b74bf33a1020a98cb69c237","181.84.123.3","Mozilla/5.0 (Linux; Android 13; SM-G990E Build/TP1A.220624.014; ) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.0.0 Mobile Safari/537.36 BingSapphire/27.2.411013306","WebKit","Chrome","114.0.0.0","AndroidOS","13","null","es-US,es;q=0.9,en-US;q=0.8,en;q=0.7","","","",""
"","","","","","html-button-response","2","6666","0.0-2.0","21","1","2023-10-31 20:11:27","a725c3012b74bf33a1020a98cb69c237","181.84.123.3","Mozilla/5.0 (Linux; Android 13; SM-G990E Build/TP1A.220624.014; ) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.0.0 Mobile Safari/537.36 BingSapphire/27.2.411013306","WebKit","Chrome","114.0.0.0","AndroidOS","13","null","es-US,es;q=0.9,en-US;q=0.8,en;q=0.7","3204","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0",""
"","","","","","html-button-response","3","16062","0.0-3.0","21","1","2023-10-31 20:11:27","a725c3012b74bf33a1020a98cb69c237","181.84.123.3","Mozilla/5.0 (Linux; Android 13; SM-G990E Build/TP1A.220624.014; ) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.0.0 Mobile Safari/537.36 BingSapphire/27.2.411013306","WebKit","Chrome","114.0.0.0","AndroidOS","13","null","es-US,es;q=0.9,en-US;q=0.8,en;q=0.7","9392","<p style=""font-size:24px;"">El experimento dura aproximadamente 15 minutos.</p><p style=""font-size:24px;"">Por favor, no cierres la ventana del navegador durante el experimento.</p><p style=""font-size:24px;"">Si se completa de forma parcial, no se guardará ningún resultado.</p>","0",""
"","","","","","html-button-response","4","39439","0.0-4.0","21","1","2023-10-31 20:11:27","a725c3012b74bf33a1020a98cb69c237","181.84.123.3","Mozilla/5.0 (Linux; Android 13; SM-G990E Build/TP1A.220624.014; ) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.0.0 Mobile Safari/537.36 BingSapphire/27.2.411013306","WebKit","Chrome","114.0.0.0","AndroidOS","13","null","es-US,es;q=0.9,en-US;q=0.8,en;q=0.7","23372","<p style=""font-size:24px;"">El experimento contiene estímulos sonoros.</p>","0",""
"","","","","","audio-button-response","5","51579","0.0-5.0-0.0","21","1","2023-10-31 20:11:27","a725c3012b74bf33a1020a98cb69c237","181.84.123.3","Mozilla/5.0 (Linux; Android 13; SM-G990E Build/TP1A.220624.014; ) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.0.0 Mobile Safari/537.36 BingSapphire/27.2.411013306","WebKit","Chrome","114.0.0.0","AndroidOS","13","null","es-US,es;q=0.9,en-US;q=0.8,en;q=0.7","11784","tones/440hz_short.mp3","0",""
"","","","","","audio-button-response","6","52910","0.0-5.1-0.1","21","1","2023-10-31 20:11:27","a725c3012b74bf33a1020a98cb69c237","181.84.123.3","Mozilla/5.0 (Linux; Android 13; SM-G990E Build/TP1A.220624.014; ) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.0.0 Mobile Safari/537.36 BingSapphire/27.2.411013306","WebKit","Chrome","114.0.0.0","AndroidOS","13","null","es-US,es;q=0.9,en-US;q=0.8,en;q=0.7","1325","tones/440hz_short.mp3","0",""
"","","","","","audio-button-response","7","55469","0.0-5.2-0.2","21","1","2023-10-31 20:11:27","a725c3012b74bf33a1020a98cb69c237","181.84.123.3","Mozilla/5.0 (Linux; Android 13; SM-G990E Build/TP1A.220624.014; ) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.0.0 Mobile Safari/537.36 BingSapphire/27.2.411013306","WebKit","Chrome","114.0.0.0","AndroidOS","13","null","es-US,es;q=0.9,en-US;q=0.8,en;q=0.7","2552","tones/440hz_short.mp3","1",""
"","","","","","audio-button-response","8","60790","0.0-6.0-0.0","21","1","2023-10-31 20:11:27","a725c3012b74bf33a1020a98cb69c237","181.84.123.3","Mozilla/5.0 (Linux; Android 13; SM-G990E Build/TP1A.220624.014; ) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.0.0 Mobile Safari/537.36 BingSapphire/27.2.411013306","WebKit","Chrome","114.0.0.0","AndroidOS","13","null","es-US,es;q=0.9,en-US;q=0.8,en;q=0.7","5312","tones/880hz_short.mp3","0",""
"","","","","","audio-button-response","9","65731","0.0-6.1-0.1","21","1","2023-10-31 20:11:27","a725c3012b74bf33a1020a98cb69c237","181.84.123.3","Mozilla/5.0 (Linux; Android 13; SM-G990E Build/TP1A.220624.014; ) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.0.0 Mobile Safari/537.36 BingSapphire/27.2.411013306","WebKit","Chrome","114.0.0.0","AndroidOS","13","null","es-US,es;q=0.9,en-US;q=0.8,en;q=0.7","4933","tones/880hz_short.mp3","0",""
