"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","check","rt","stimulus","response","question_order","url","task","delay","number","audioFile","trial_duration","font_size","block","round"
"true","false","[]","[]","[]","preload","0","590","0.0-0.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","3371","0.0-1.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","","","","","","","","","","","","",""
"","","","","","html-button-response","2","6455","0.0-2.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","3079","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0","","","","","","","","","",""
"","","","","","html-button-response","3","11409","0.0-3.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","4951","<p style=""font-size:24px;"">El experimento dura aproximadamente 15 minutos.</p><p style=""font-size:24px;"">Por favor, no cierres la ventana del navegador durante el experimento.</p><p style=""font-size:24px;"">Si se completa de forma parcial, no se guardará ningún resultado.</p>","0","","","","","","","","","",""
"","","","","","html-button-response","4","13505","0.0-4.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","2093","<p style=""font-size:24px;"">El experimento contiene estímulos sonoros.</p>","0","","","","","","","","","",""
"","","","","","audio-button-response","5","18683","0.0-5.0-0.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","5045","tones/440hz_short.mp3","1","","","","","","","","","",""
"","","","","","audio-button-response","6","20412","0.0-6.0-0.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","1728","tones/880hz_short.mp3","1","","","","","","","","","",""
"","","","","","survey-html-form","7","24821","0.0-7.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","4402","","{""response"":""50""}","","","","","","","","","",""
"","","","","","survey-multi-choice","8","28839","0.0-8.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","4013","","{""gender"":""Mujer"",""hand"":""Derecha""}","[0,1]","","","","","","","","",""
"","","","","","external-html","9","52730","0.0-9.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","23556","","","","instructions/instructions.html","","","","","","","",""
"","","","","","external-html","10","82799","0.0-10.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","29740","","","","instructions/animation.html","","","","","","","",""
"","","","","","html-keyboard-response","11","85613","0.0-11.0-0.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","null","<div style=""font-size:100px;"">X</div>","null","","","fixation","","","","","","",""
"","","","","","audio-keyboard-response","12","86773","0.0-11.0-1.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","null","tones/880hz_short.mp3","null","","","tone_number_task","1000","46","tones/880hz_short.mp3","1150","100","null","null"
"","","","","","html-keyboard-response","13","87783","0.0-11.0-4.0-0.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","1007","tones/880hz_short.mp3","a","","","empty_block","","46","","","","null","null"
"","","","","","html-keyboard-response","14","87909","0.0-11.0-4.0-1.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","125","tones/880hz_short.mp3","s","","","empty_block","","46","","","","null","null"
"","","","","","html-button-response","15","92345","0.0-11.0-6.0-0.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","4433","
  '<p style=""font-size:24px; color:red;"">Incorrecto</p><p> Respondiste alguno de los estímulos de manera incorrecta.</p><p>Por favor, repasá las instrucciones y seguimos desde donde nos quedamos. </p>
  ","0","","","","","","","","","",""
"","","","","","external-html","16","99988","0.0-11.0-6.0-1.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","7117","","","","instructions/instructions_B.html","","","","","","","",""
"","","","","","html-keyboard-response","17","102806","0.0-11.1-0.1","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","null","<div style=""font-size:100px;"">X</div>","null","","","fixation","","","","","","",""
"","","","","","audio-keyboard-response","18","103173","0.0-11.1-1.1","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","363","tones/880hz_short.mp3","k","","","tone_number_task","1000","46","tones/880hz_short.mp3","1150","100","null","null"
"","","","","","html-keyboard-response","19","103814","0.0-11.1-2.1-0.1","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","null","","null","","","delay_block","","","","","","null","null"
"","","","","","html-keyboard-response","20","103970","0.0-11.1-2.1-1.1","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","null","<p id=""stimulus"" style=""font-size:100px;"">46</p>","null","","","tone_number_task_remaining_before_delay","","46","","787","100","null","null"
"","","","","","html-keyboard-response","21","104845","0.0-11.1-5.1-0.1","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","870","<p id=""stimulus"" style=""font-size:100px;"">46</p>","k","","","empty_block","","46","","","","null","null"
"","","","","","html-keyboard-response","22","107658","0.0-13.0-0.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","null","<div style=""font-size:100px;"">X</div>","null","","","fixation","","","","","","",""
"","","","","","audio-keyboard-response","23","108045","0.0-13.0-1.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","384","tones/880hz_short.mp3","a","","","tone_number_task","500","64","tones/880hz_short.mp3","650","100","null","null"
"","","","","","html-keyboard-response","24","108166","0.0-13.0-2.0-0.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","null","","null","","","delay_block","","","","","","null","null"
"","","","","","html-keyboard-response","25","108324","0.0-13.0-2.0-1.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","null","<p id=""stimulus"" style=""font-size:100px;"">64</p>","null","","","tone_number_task_remaining_before_delay","","64","","266","100","null","null"
"","","","","","html-keyboard-response","26","108450","0.0-13.0-5.0-0.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","121","<p id=""stimulus"" style=""font-size:100px;"">64</p>","k","","","empty_block","","64","","","","null","null"
"","","","","","html-button-response","27","110037","0.0-13.0-6.0-0.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","1584","
  '<p style=""font-size:24px; color:red;"">Incorrecto</p><p> Respondiste alguno de los estímulos de manera incorrecta.</p><p>Por favor, repasá las instrucciones y seguimos desde donde nos quedamos. </p>
  ","0","","","","","","","","","",""
"","","","","","external-html","28","116299","0.0-13.0-6.0-1.0","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","5962","","","","instructions/instructions_B.html","","","","","","","",""
"","","","","","html-keyboard-response","29","119116","0.0-13.1-0.1","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","null","<div style=""font-size:100px;"">X</div>","null","","","fixation","","","","","","",""
"","","","","","audio-keyboard-response","30","119631","0.0-13.1-1.1","32","1","2023-10-31 21:01:35","a725c3012b74bf33a1020a98cb69c237","201.189.74.224","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","es-419,es;q=0.9,en;q=0.8","false","512","tones/880hz_short.mp3","k","","","tone_number_task","500","64","tones/880hz_short.mp3","650","100","null","null"
