"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","rt","stimulus","response"
"true","false","[]","[]","[]","preload","0","478","0.0-0.0","10","1","2023-10-27 17:02:10","a725c3012b74bf33a1020a98cb69c237","201.216.219.87","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.1","iOS","17_1","null","es-419,es;q=0.9","","",""
"true","","","","","fullscreen","1","3278","0.0-1.0","10","1","2023-10-27 17:02:10","a725c3012b74bf33a1020a98cb69c237","201.216.219.87","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.1","iOS","17_1","null","es-419,es;q=0.9","","",""
"","","","","","html-button-response","2","5466","0.0-2.0","10","1","2023-10-27 17:02:10","a725c3012b74bf33a1020a98cb69c237","201.216.219.87","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.1","iOS","17_1","null","es-419,es;q=0.9","2177","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0"
"","","","","","html-button-response","3","12411","0.0-3.0","10","1","2023-10-27 17:02:10","a725c3012b74bf33a1020a98cb69c237","201.216.219.87","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.1","iOS","17_1","null","es-419,es;q=0.9","6943","<p style=""font-size:24px;"">El experimento dura aproximadamente 15 minutos.</p><p style=""font-size:24px;"">Por favor, no cierres la ventana del navegador durante el experimento.</p><p style=""font-size:24px;"">Si se completa de forma parcial, no se guardará ningún resultado.</p>","0"
"","","","","","html-button-response","4","18471","0.0-4.0","10","1","2023-10-27 17:02:10","a725c3012b74bf33a1020a98cb69c237","201.216.219.87","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.1","iOS","17_1","null","es-419,es;q=0.9","6056","<p style=""font-size:24px;"">El experimento contiene estímulos sonoros.</p>","0"
"","","","","","audio-button-response","5","22140","0.0-5.0-0.0","10","1","2023-10-27 17:02:10","a725c3012b74bf33a1020a98cb69c237","201.216.219.87","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.1","iOS","17_1","null","es-419,es;q=0.9","3557","tones/440hz_short.mp3","0"
"","","","","","audio-button-response","6","23293","0.0-5.1-0.1","10","1","2023-10-27 17:02:10","a725c3012b74bf33a1020a98cb69c237","201.216.219.87","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.1","iOS","17_1","null","es-419,es;q=0.9","1149","tones/440hz_short.mp3","0"
"","","","","","audio-button-response","7","24261","0.0-5.2-0.2","10","1","2023-10-27 17:02:10","a725c3012b74bf33a1020a98cb69c237","201.216.219.87","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.1","iOS","17_1","null","es-419,es;q=0.9","965","tones/440hz_short.mp3","0"
"","","","","","audio-button-response","8","25831","0.0-5.3-0.3","10","1","2023-10-27 17:02:10","a725c3012b74bf33a1020a98cb69c237","201.216.219.87","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.1","iOS","17_1","null","es-419,es;q=0.9","1568","tones/440hz_short.mp3","0"
"","","","","","audio-button-response","9","26481","0.0-5.4-0.4","10","1","2023-10-27 17:02:10","a725c3012b74bf33a1020a98cb69c237","201.216.219.87","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.1","iOS","17_1","null","es-419,es;q=0.9","648","tones/440hz_short.mp3","0"
"","","","","","audio-button-response","10","27017","0.0-5.5-0.5","10","1","2023-10-27 17:02:10","a725c3012b74bf33a1020a98cb69c237","201.216.219.87","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.1","iOS","17_1","null","es-419,es;q=0.9","531","tones/440hz_short.mp3","0"
"","","","","","audio-button-response","11","27534","0.0-5.6-0.6","10","1","2023-10-27 17:02:10","a725c3012b74bf33a1020a98cb69c237","201.216.219.87","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.1","iOS","17_1","null","es-419,es;q=0.9","512","tones/440hz_short.mp3","0"
"","","","","","audio-button-response","12","27985","0.0-5.7-0.7","10","1","2023-10-27 17:02:10","a725c3012b74bf33a1020a98cb69c237","201.216.219.87","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.1","iOS","17_1","null","es-419,es;q=0.9","448","tones/440hz_short.mp3","0"
