"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","rt","stimulus","response","question_order","url"
"true","false","[]","[]","[]","preload","0","316","0.0-0.0","71","1","2023-11-01 23:21:49","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.76","WebKit","Edge","118.0.2088.76","Windows","10.0","null","es,es-ES;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","","","","",""
"true","","","","","fullscreen","1","2933","0.0-1.0","71","1","2023-11-01 23:21:49","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.76","WebKit","Edge","118.0.2088.76","Windows","10.0","null","es,es-ES;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","","","","",""
"","","","","","html-button-response","2","8022","0.0-2.0","71","1","2023-11-01 23:21:49","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.76","WebKit","Edge","118.0.2088.76","Windows","10.0","null","es,es-ES;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","5088","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0","",""
"","","","","","html-button-response","3","9199","0.0-3.0","71","1","2023-11-01 23:21:49","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.76","WebKit","Edge","118.0.2088.76","Windows","10.0","null","es,es-ES;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","1175","<p style=""font-size:24px;"">El experimento dura aproximadamente 15 minutos.</p><p style=""font-size:24px;"">Por favor, no cierres la ventana del navegador durante el experimento.</p><p style=""font-size:24px;"">Si se completa de forma parcial, no se guardará ningún resultado.</p>","0","",""
"","","","","","html-button-response","4","10356","0.0-4.0","71","1","2023-11-01 23:21:49","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.76","WebKit","Edge","118.0.2088.76","Windows","10.0","null","es,es-ES;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","1156","<p style=""font-size:24px;"">El experimento contiene estímulos sonoros.</p>","0","",""
"","","","","","audio-button-response","5","12404","0.0-5.0-0.0","71","1","2023-11-01 23:21:49","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.76","WebKit","Edge","118.0.2088.76","Windows","10.0","null","es,es-ES;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","1701","tones/440hz_short.mp3","1","",""
"","","","","","audio-button-response","6","13077","0.0-6.0-0.0","71","1","2023-11-01 23:21:49","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.76","WebKit","Edge","118.0.2088.76","Windows","10.0","null","es,es-ES;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","672","tones/880hz_short.mp3","1","",""
"","","","","","survey-html-form","7","27174","0.0-7.0","71","1","2023-11-01 23:21:49","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.76","WebKit","Edge","118.0.2088.76","Windows","10.0","null","es,es-ES;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","14093","","{""response"":""27""}","",""
"","","","","","survey-multi-choice","8","34813","0.0-8.0","71","1","2023-11-01 23:21:49","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.76","WebKit","Edge","118.0.2088.76","Windows","10.0","null","es,es-ES;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","7636","","{""gender"":""Mujer"",""hand"":""Derecha""}","[0,1]",""
"","","","","","external-html","9","41086","0.0-9.0","71","1","2023-11-01 23:21:49","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.76","WebKit","Edge","118.0.2088.76","Windows","10.0","null","es,es-ES;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","5989","","","","instructions/instructions.html"
