"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","check","rt","stimulus","response","question_order","url","task","delay","number","audioFile","trial_duration","font_size","block","round","value"
"true","false","[]","[]","[]","preload","0","11","0.0-0.0","73","1","2023-11-02 00:47:01","a725c3012b74bf33a1020a98cb69c237","181.28.190.167","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-ES,es;q=0.9,en;q=0.8","true","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4310","0.0-1.0","73","1","2023-11-02 00:47:01","a725c3012b74bf33a1020a98cb69c237","181.28.190.167","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-ES,es;q=0.9,en;q=0.8","true","","","","","","","","","","","","","",""
"","","","","","html-button-response","2","5221","0.0-2.0","73","1","2023-11-02 00:47:01","a725c3012b74bf33a1020a98cb69c237","181.28.190.167","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-ES,es;q=0.9,en;q=0.8","true","910","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0","","","","","","","","","","",""
"","","","","","html-button-response","3","7211","0.0-3.0","73","1","2023-11-02 00:47:01","a725c3012b74bf33a1020a98cb69c237","181.28.190.167","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-ES,es;q=0.9,en;q=0.8","true","1988","<p style=""font-size:24px;"">El experimento dura aproximadamente 15 minutos.</p><p style=""font-size:24px;"">Por favor, no cierres la ventana del navegador durante el experimento.</p><p style=""font-size:24px;"">Si se completa de forma parcial, no se guardará ningún resultado.</p>","0","","","","","","","","","","",""
"","","","","","html-button-response","4","9463","0.0-4.0","73","1","2023-11-02 00:47:01","a725c3012b74bf33a1020a98cb69c237","181.28.190.167","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-ES,es;q=0.9,en;q=0.8","true","2251","<p style=""font-size:24px;"">El experimento contiene estímulos sonoros.</p>","0","","","","","","","","","","",""
"","","","","","audio-button-response","5","11852","0.0-5.0-0.0","73","1","2023-11-02 00:47:01","a725c3012b74bf33a1020a98cb69c237","181.28.190.167","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-ES,es;q=0.9,en;q=0.8","true","2331","tones/440hz_short.mp3","0","","","","","","","","","","",""
"","","","","","audio-button-response","6","14953","0.0-5.1-0.1","73","1","2023-11-02 00:47:01","a725c3012b74bf33a1020a98cb69c237","181.28.190.167","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-ES,es;q=0.9,en;q=0.8","true","3100","tones/440hz_short.mp3","1","","","","","","","","","","",""
"","","","","","audio-button-response","7","17009","0.0-6.0-0.0","73","1","2023-11-02 00:47:01","a725c3012b74bf33a1020a98cb69c237","181.28.190.167","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-ES,es;q=0.9,en;q=0.8","true","2058","tones/880hz_short.mp3","1","","","","","","","","","","",""
"","","","","","survey-html-form","8","20896","0.0-7.0","73","1","2023-11-02 00:47:01","a725c3012b74bf33a1020a98cb69c237","181.28.190.167","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-ES,es;q=0.9,en;q=0.8","true","3879","","{""response"":""29""}","","","","","","","","","","",""
"","","","","","survey-multi-choice","9","26631","0.0-8.0","73","1","2023-11-02 00:47:01","a725c3012b74bf33a1020a98cb69c237","181.28.190.167","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-ES,es;q=0.9,en;q=0.8","true","5732","","{""gender"":""Mujer"",""hand"":""Derecha""}","[0,1]","","","","","","","","","",""
